sample_id,n_nodes,input_facts,closure_facts,rounds,matches,seconds,derived_down,oracle_agreement
451,28,49,247,5,23206,0.04233066799952212,5,1
452,28,51,264,6,32990,0.04149135500028933,11,1
453,28,52,265,5,25842,0.03185788600058004,11,1
454,28,47,235,5,21302,0.04553194500022073,0,1
455,28,49,252,5,23530,0.03128105500036327,7,1
456,27,44,173,4,10408,0.013677353000275616,4,1
457,27,44,182,4,10881,0.01816481600053521,8,1
458,27,42,167,4,9525,0.01322825900024327,1,1
459,27,45,197,5,16192,0.03000384299957659,13,1
460,27,42,167,4,9525,0.021985053999742377,1,1
461,27,42,167,4,9525,0.013301232999765489,1,1
462,27,41,165,4,9148,0.013941434000116715,0,1
463,27,46,214,5,17320,0.024977037999633467,17,1
464,23,41,217,6,20557,0.033654110000497894,22,1
465,23,41,226,6,20693,0.027124086000185343,22,1
466,23,37,193,6,17942,0.024032256999817037,17,1
467,23,38,197,7,22032,0.028568595000251662,16,1
468,23,34,150,6,13433,0.017498584000350093,0,1
469,23,37,166,6,15774,0.020724816999972973,6,1
470,23,37,158,6,15203,0.019481804999486485,3,1
471,23,36,158,6,14818,0.01991967600042699,3,1
472,25,47,276,7,37555,0.049977442000454175,18,1
473,25,48,296,6,31804,0.03920097700029146,24,1
474,25,42,233,6,24780,0.0331412139994427,8,1
475,25,46,242,6,27756,0.03540898999926867,9,1
476,25,44,242,6,26569,0.03224720599973807,9,1
477,25,41,216,6,23004,0.0302993739996964,0,1
478,25,43,231,6,25524,0.031539579999844136,7,1
479,25,45,238,6,27313,0.034533197000200744,10,1
480,24,39,197,5,14528,0.020340441000371356,7,1
481,24,41,228,6,21783,0.027271165000456676,18,1
482,24,44,238,5,18164,0.022754951000024448,20,1
483,24,38,182,5,13208,0.016568181999900844,0,1
484,24,42,227,6,22527,0.03195817400046508,20,1
485,24,44,232,6,23673,0.03183355700002721,20,1
486,24,42,210,5,16398,0.022371632000613317,12,1
487,24,44,227,6,23255,0.03068068199991103,18,1
488,25,42,203,7,26026,0.03585984100027417,6,1
489,25,41,195,7,24474,0.033954880999772286,2,1
490,25,41,192,7,24718,0.033766036000088206,3,1
491,25,42,218,7,27824,0.041425993999837374,14,1
492,25,47,252,7,32466,0.04413821399975859,21,1
493,25,43,220,7,28666,0.04123117899962381,15,1
494,25,43,206,7,26904,0.03701885600003152,7,1
495,25,49,263,7,34629,0.046085381000011694,24,1
496,30,47,320,8,60326,0.08109579899974051,10,1
497,30,43,291,8,52244,0.07266731199979404,0,1
498,30,44,320,9,64252,0.08652135500051372,2,1
499,30,49,356,9,78348,0.1058939280001141,23,1
500,30,47,354,8,64554,0.08611675600059243,23,1
501,30,44,328,8,58145,0.08008989999962068,15,1
502,30,43,291,8,52244,0.0705746370003908,0,1
503,30,46,301,8,57447,0.07643731300049694,5,1
504,25,39,223,6,20274,0.028850096000496706,13,1
505,25,41,232,7,27976,0.03845394400013902,21,1
506,25,39,202,7,24478,0.035094027999548416,9,1
507,25,43,244,7,29632,0.0394694590004292,22,1
508,25,38,184,6,18077,0.027135948999784887,3,1
509,25,43,233,6,22967,0.03175348400054645,16,1
510,25,40,207,6,20551,0.030932417000258283,11,1
511,25,36,178,6,16563,0.02300781800022378,0,1
512,24,35,187,6,17672,0.024512711000170384,0,1
513,24,38,199,6,19976,0.02804410199951235,4,1
514,24,42,246,7,30816,0.047564102000251296,19,1
515,24,39,209,6,21086,0.028805501000533695,7,1
516,24,35,187,6,17672,0.02402566000000661,0,1
517,24,39,222,7,27690,0.03727408400027343,15,1
518,24,40,222,7,27643,0.03827445099977922,10,1
519,24,40,232,7,28499,0.038980699000603636,14,1
520,29,50,269,6,36453,0.04863966999982949,4,1
521,29,52,281,6,39685,0.052348541999890585,11,1
522,29,54,345,6,45390,0.06072108400076104,27,1
523,29,51,291,6,39233,0.05279279800015502,13,1
524,29,49,284,6,37087,0.050799071000255935,9,1
525,29,51,264,6,37665,0.050263980000636366,6,1
526,29,52,278,6,39175,0.05232810400048038,9,1
527,29,48,288,6,37094,0.05264717599948199,12,1
528,28,47,281,6,32126,0.042513759000030404,17,1
529,28,45,263,6,30809,0.04154592899976706,15,1
530,28,42,227,6,25652,0.034513977000642626,0,1
531,28,43,231,6,26731,0.03743713200037746,2,1
532,28,45,266,6,30578,0.04235905499990622,16,1
533,28,44,253,6,28614,0.04059751999920991,10,1
534,28,45,246,6,29033,0.03879326700007368,7,1
535,28,43,229,6,26491,0.0366417459999866,1,1
536,30,50,325,8,65506,0.08152959300059592,5,1
537,30,52,377,8,74963,0.09601179800029058,26,1
538,30,49,365,8,69698,0.08654997700068634,25,1
539,30,55,438,9,95268,0.12028300800011493,29,1
540,30,48,382,8,68912,0.08734635200016783,24,1
541,30,56,405,9,95872,0.1167934149998473,28,1
542,30,53,358,8,73797,0.09275997399981861,19,1
543,30,48,315,8,62303,0.07819887500045297,3,1
544,29,53,293,5,30946,0.03886679000061122,19,1
545,29,54,310,6,42352,0.056061754999973346,26,1
546,29,50,257,5,26465,0.03268381799989584,4,1
547,29,53,259,5,28306,0.03567775400006212,5,1
548,29,53,288,5,30178,0.038160475000040606,15,1
549,29,61,328,6,47584,0.058699684999737656,23,1
550,29,51,280,5,28684,0.03555635799966694,13,1
551,29,52,323,6,41012,0.05168934300036199,24,1
552,30,43,281,6,34310,0.04448687700005394,2,1
553,30,45,296,6,36566,0.046306546000778326,5,1
554,30,45,285,6,36296,0.05494209799962846,4,1
555,30,47,339,7,52365,0.06888348500069696,22,1
556,30,54,385,7,62190,0.07577535400014312,26,1
557,30,52,385,7,59504,0.07457870800044475,25,1
558,30,50,342,7,55452,0.07012735700027406,19,1
559,30,42,277,6,33047,0.040856422000615567,0,1
560,30,44,245,6,28239,0.03608659700057615,0,1
561,30,46,251,6,30245,0.03793305799990776,3,1
562,30,51,320,7,46931,0.06702994999977818,21,1
563,30,49,293,7,43630,0.05243155099924479,16,1
564,30,46,267,6,31829,0.039690206999694055,11,1
565,30,46,298,6,33825,0.04142695499922411,24,1
566,30,51,297,6,36226,0.046670929999891086,15,1
567,30,47,251,6,30888,0.03908816500006651,3,1
568,27,52,363,8,61923,0.07686064100016665,23,1
569,27,45,277,7,40659,0.050862266999502026,8,1
570,27,47,316,7,46710,0.05910035299984884,24,1
571,27,49,329,8,57121,0.0694734779999635,19,1
572,27,44,260,7,38017,0.048463168000125734,1,1
573,27,46,310,8,53049,0.06564849799997319,23,1
574,27,44,260,7,38017,0.0473712559996784,1,1
575,27,45,321,8,52498,0.06974527500005934,19,1
576,29,51,314,6,39750,0.049462339999990945,27,1
577,29,46,233,5,24001,0.03098895299990545,7,1
578,29,45,250,6,30152,0.03819114300040383,5,1
579,29,52,315,6,40054,0.0601312560002043,26,1
580,29,51,326,6,39506,0.050226747000124305,25,1
581,29,49,311,6,38479,0.048477000999810116,27,1
582,29,46,227,5,23374,0.02926735999972152,4,1
583,29,45,226,5,22698,0.02833849899980123,3,1
584,27,45,323,6,39105,0.05141370499950426,20,1
585,27,42,280,5,26913,0.034004770000137796,15,1
586,27,42,256,5,25183,0.031087599000784394,6,1
587,27,42,284,5,26631,0.03356918499957828,14,1
588,27,43,327,6,38261,0.047016231000270636,23,1
589,27,39,266,5,24355,0.03082464199997048,11,1
590,27,45,306,6,38016,0.04715993099944171,15,1
591,27,39,237,5,22526,0.028504430999419128,1,1
592,28,43,234,6,24589,0.03053141200052778,13,1
593,28,42,215,6,23865,0.029768487999717763,12,1
594,28,45,268,6,28443,0.039173302000563126,27,1
595,28,43,250,6,27085,0.034938486000100966,27,1
596,28,40,191,5,15748,0.020481841000218992,2,1
597,28,39,195,5,15554,0.020957415999873774,3,1
598,28,38,184,5,14624,0.019338293000146223,0,1
599,28,42,236,6,25138,0.03245412199976272,18,1
600,28,38,252,8,37370,0.049327746000017214,13,1
601,28,42,321,9,54058,0.06763878199944884,28,1
602,28,38,223,8,34993,0.04478261900021607,3,1
603,28,38,232,8,35734,0.04566123099994002,6,1
604,28,37,219,8,33548,0.04173382799945102,1,1
605,28,43,294,8,45029,0.057221928000217304,23,1
606,28,44,288,8,43751,0.05485989199951291,15,1
607,28,43,298,9,52147,0.06480245999955514,21,1
608,26,39,238,6,22869,0.030057028999181057,16,1
609,26,44,256,6,26540,0.03512199099986901,20,1
610,26,38,184,5,15032,0.018870558000344317,2,1
