case,n_nodes,n_failures,strategy,repairs,cost,expanded,seconds,oracle_cost,excess_cost,valid
52,12,6,ucs,"['n01', 'n11']",16,38,0.015433034999659867,16,0,1
52,12,6,cheapest,"['n01', 'n02', 'n05', 'n06', 'n08', 'n11']",28,7,0.0025976679999075714,16,12,1
53,16,6,ucs,"['n01', 'n07', 'n12']",13,32,0.025583933000234538,13,0,1
53,16,6,cheapest,"['n00', 'n01', 'n03', 'n07', 'n12', 'n14']",27,7,0.0040357879997827695,13,14,1
54,8,2,ucs,['n07'],7,3,0.0003745780004464905,7,0,1
54,8,2,cheapest,"['n02', 'n07']",14,3,0.0003075810000154888,7,7,1
55,12,2,ucs,['n02'],3,3,0.0010439610005050781,3,0,1
55,12,2,cheapest,"['n02', 'n04']",5,3,0.0009245950004697079,3,2,1
56,16,2,ucs,['n08'],3,3,0.001045021999743767,3,0,1
56,16,2,cheapest,"['n08', 'n10']",4,3,0.0008189039999706438,3,1,1
57,8,4,ucs,[],0,1,0.00021915899924351834,0,0,1
57,8,4,cheapest,[],0,1,0.00027581399990594946,0,0,1
58,12,4,ucs,['n02'],2,3,0.0017807959993660916,2,0,1
58,12,4,cheapest,"['n00', 'n02']",3,3,0.0015661009992982144,2,1,1
59,16,4,ucs,[],0,1,0.0003686159998324001,0,0,1
59,16,4,cheapest,[],0,1,0.0003712289999384666,0,0,1
