case,fault,method,test_normal,test_fault,f1_macro,balanced_accuracy,false_alarm_rate,fault_period_recall
re2ob_checkoutservice_loss_2,loss,KMeans,144,721,0.9439968208679655,0.9798890429958391,0.0,0.9597780859916782
re2ob_checkoutservice_loss_2,loss,MaxDeviation,144,721,0.9439968208679655,0.9798890429958391,0.0,0.9597780859916782
re2ob_checkoutservice_loss_3,loss,SingleCenter,144,721,0.9558466218837414,0.9305555555555556,0.1388888888888889,1.0
re2ob_checkoutservice_loss_3,loss,KMeans,144,721,0.926645183175034,0.8888888888888888,0.2222222222222222,1.0
re2ob_checkoutservice_loss_3,loss,MaxDeviation,144,721,0.7740679866473001,0.7152777777777778,0.5694444444444444,1.0
re2ob_checkoutservice_mem_1,mem,SingleCenter,144,721,0.8282678737549066,0.7819531129603945,0.4236111111111111,0.9875173370319001
re2ob_checkoutservice_mem_1,mem,KMeans,144,721,0.8722443144609571,0.8243084450608722,0.3472222222222222,0.9958391123439667
re2ob_checkoutservice_mem_1,mem,MaxDeviation,144,721,0.7271330004295533,0.6736111111111112,0.6527777777777778,1.0
re2ob_checkoutservice_mem_2,mem,SingleCenter,144,284,0.8925142470781415,0.8748532863849765,0.22916666666666666,0.9788732394366197
re2ob_checkoutservice_mem_2,mem,KMeans,144,284,0.8984604928218314,0.8817977308294209,0.2152777777777778,0.9788732394366197
re2ob_checkoutservice_mem_2,mem,MaxDeviation,144,284,0.9005678884873516,0.8818466353677621,0.2222222222222222,0.9859154929577465
re2ob_checkoutservice_mem_3,mem,SingleCenter,144,721,0.9364493946161985,0.9291782246879334,0.125,0.9833564493758669
re2ob_checkoutservice_mem_3,mem,KMeans,144,721,0.965263095730231,0.9743171135768223,0.034722222222222224,0.9833564493758669
re2ob_checkoutservice_mem_3,mem,MaxDeviation,144,721,0.8927198313282898,0.8666782246879334,0.25,0.9833564493758669
re2ob_checkoutservice_socket_1,socket,SingleCenter,144,721,0.9793996608684055,0.9847289644012944,0.020833333333333332,0.9902912621359223
re2ob_checkoutservice_socket_1,socket,KMeans,144,721,0.9856965688300952,0.9951456310679612,0.0,0.9902912621359223
re2ob_checkoutservice_socket_1,socket,MaxDeviation,144,721,0.9856965688300952,0.9951456310679612,0.0,0.9902912621359223
re2ob_checkoutservice_socket_2,socket,SingleCenter,144,721,0.9371646359180985,0.9347357065803668,0.1111111111111111,0.9805825242718447
re2ob_checkoutservice_socket_2,socket,KMeans,144,721,0.9322126875906116,0.9250125211897057,0.13194444444444445,0.9819694868238558
re2ob_checkoutservice_socket_2,socket,MaxDeviation,144,721,0.9719192312686664,0.9902912621359223,0.0,0.9805825242718447
re2ob_checkoutservice_socket_3,socket,SingleCenter,144,721,0.9306168284270474,0.9138975574048389,0.1597222222222222,0.9875173370319001
re2ob_checkoutservice_socket_3,socket,KMeans,144,721,0.9061298524122535,0.8791753351826168,0.22916666666666666,0.9875173370319001
re2ob_checkoutservice_socket_3,socket,MaxDeviation,144,721,0.859726516869374,0.8173688164586224,0.3541666666666667,0.9889042995839112
re2ob_currencyservice_cpu_1,cpu,SingleCenter,144,721,0.9699917433929798,0.9895977808599168,0.0,0.9791955617198336
re2ob_currencyservice_cpu_1,cpu,KMeans,144,721,0.9615887105632799,0.975708891971028,0.027777777777777776,0.9791955617198336
re2ob_currencyservice_cpu_1,cpu,MaxDeviation,144,721,0.9699917433929798,0.9895977808599168,0.0,0.9791955617198336
re2ob_currencyservice_cpu_2,cpu,SingleCenter,144,721,0.9661662352602819,0.9882108183079057,0.0,0.9764216366158114
re2ob_currencyservice_cpu_2,cpu,KMeans,144,721,0.9640833763932974,0.9847385960856835,0.006944444444444444,0.9764216366158114
re2ob_currencyservice_cpu_2,cpu,MaxDeviation,144,721,0.9680741123495977,0.9889042995839112,0.0,0.9778085991678225
re2ob_currencyservice_cpu_3,cpu,SingleCenter,144,721,0.9368876979099646,0.9771151178918169,0.0,0.9542302357836339
re2ob_currencyservice_cpu_3,cpu,KMeans,144,721,0.9368876979099646,0.9771151178918169,0.0,0.9542302357836339
re2ob_currencyservice_cpu_3,cpu,MaxDeviation,144,721,0.9333826224912589,0.9757281553398058,0.0,0.9514563106796117
re2ob_currencyservice_delay_1,delay,SingleCenter,144,721,0.8358945171694177,0.7777777777777778,0.4444444444444444,1.0
re2ob_currencyservice_delay_1,delay,KMeans,144,721,0.8759459876883702,0.8305594082293111,0.3333333333333333,0.9944521497919556
re2ob_currencyservice_delay_1,delay,MaxDeviation,144,721,0.851525475010837,0.7951388888888888,0.4097222222222222,1.0
re2ob_currencyservice_delay_2,delay,SingleCenter,144,721,0.9642680105750165,0.9875173370319001,0.0,0.9750346740638003
re2ob_currencyservice_delay_2,delay,KMeans,144,721,0.9642680105750165,0.9875173370319001,0.0,0.9750346740638003
re2ob_currencyservice_delay_2,delay,MaxDeviation,144,721,0.9642680105750165,0.9875173370319001,0.0,0.9750346740638003
