repeat,fold,model,feature_set,n_test,f1_macro,balanced_accuracy,average_precision,brier,fit_seconds,best_params
1,1,RandomForest,BASE,192,0.48276947836126366,0.5201709401709401,0.4667946182695609,0.24362159134312297,1.2997849240000505,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
1,1,GradientBoosting,BASE,192,0.44552375951693357,0.5082051282051282,0.45263879060980433,0.24504104001548063,0.9288521970001966,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
1,1,LogisticRegression,BASE+LOCAL,192,0.5897435897435896,0.5914529914529915,0.5044711513620997,0.23882359114764973,0.13886819399976957,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}"
1,1,RandomForest,BASE+LOCAL,192,0.4659991656236963,0.504957264957265,0.4977690537166783,0.23419581632923245,1.5175117770004363,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
1,1,GradientBoosting,BASE+LOCAL,192,0.46567717996289426,0.5111111111111111,0.4702890591994021,0.24390729992853225,1.3546126589999403,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
1,1,LogisticRegression,BASE+KB,192,0.6468890586537646,0.648034188034188,0.555035262534983,0.22714566892757806,0.14059816300050443,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
1,1,RandomForest,BASE+KB,192,0.5516483516483517,0.572991452991453,0.5557455244275697,0.22634024451735243,1.5858865789996344,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 10}"
1,1,GradientBoosting,BASE+KB,192,0.566821499668215,0.5801709401709402,0.5233279141516023,0.23090278567056188,1.5130070450004496,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
1,1,DummyPrior,-,192,0.3786407766990291,0.5,0.390625,0.24374050564236108,0.0,{}
1,1,LogicOnly,-,192,0.6287371709058456,0.6264957264957265,0.4805555555555556,0.3385416666666667,0.0,{}
1,2,LogisticRegression,BASE,192,0.5510353570925483,0.5861598440545809,0.4432384826111362,0.2478030072137559,0.11867564099975425,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
1,2,RandomForest,BASE,192,0.5814211284779958,0.5787524366471735,0.45390934379961445,0.2073606661588614,1.281226813000103,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
1,2,GradientBoosting,BASE,192,0.599606531575841,0.5959064327485379,0.5149868312904791,0.19869511020226605,0.8772182459997566,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
1,2,LogisticRegression,BASE+LOCAL,192,0.5789356799822336,0.6313840155945418,0.46477999732060915,0.24550872344563782,0.1327610199996343,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
1,2,RandomForest,BASE+LOCAL,192,0.5808450704225352,0.5777777777777777,0.4630125507085159,0.2036177854680279,1.4166098460000285,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
1,2,GradientBoosting,BASE+LOCAL,192,0.5555401997028643,0.5541910331384016,0.43090218316307005,0.21139776365934482,1.2482090809999136,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
1,2,LogisticRegression,BASE+KB,192,0.6058902275769745,0.6228070175438596,0.49135716428562204,0.23115062872682027,0.13323063499956334,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
1,2,RandomForest,BASE+KB,192,0.6081632653061224,0.6023391812865497,0.5142139941052406,0.1934781122408188,1.4527323789998263,"{""clf__max_depth"": 4, ""clf__min_samples_leaf"": 3}"
1,2,GradientBoosting,BASE+KB,192,0.5734110362411218,0.571345029239766,0.4799419558016281,0.20101417953907552,1.491549925000072,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
1,2,DummyPrior,-,192,0.41284403669724773,0.5,0.296875,0.21047634548611108,0.0,{}
1,2,LogicOnly,-,192,0.6220850708924104,0.6192982456140351,0.3775303643724696,0.3072916666666667,0.0,{}
1,3,LogisticRegression,BASE,192,0.6112512849266424,0.6107940446650124,0.4872633461582102,0.22493118414280167,0.11732187599955068,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
1,3,RandomForest,BASE,192,0.5139240506329115,0.5418114143920596,0.44742380823627664,0.21851067482242378,1.3985426480003298,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
1,3,GradientBoosting,BASE,192,0.42581090407177363,0.4968982630272953,0.4770648764600285,0.20694072124086907,0.8575838330007173,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 1}"
1,3,LogisticRegression,BASE+LOCAL,192,0.6376598867687147,0.6437965260545906,0.5328991960958176,0.21847351505649315,0.13184329200066713,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
1,3,RandomForest,BASE+LOCAL,192,0.5042735042735043,0.5449131513647643,0.48577632186871167,0.20442452089403643,1.439658378999411,"{""clf__max_depth"": 4, ""clf__min_samples_leaf"": 10}"
1,3,GradientBoosting,BASE+LOCAL,192,0.5406698564593302,0.5652605459057072,0.5113540354643553,0.2013589472967167,1.3144390090001252,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
1,3,LogisticRegression,BASE+KB,192,0.6697945267477295,0.6753101736972704,0.551481289337203,0.21109293880531088,0.13797884900031931,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
1,3,RandomForest,BASE+KB,192,0.5804588731075386,0.5863523573200993,0.504590449687422,0.2014805750614376,1.538501826999891,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
1,3,GradientBoosting,BASE+KB,192,0.5580952380952381,0.5702233250620348,0.5354417596367755,0.19791371889180667,1.436377936000099,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
1,3,DummyPrior,-,192,0.40372670807453415,0.5,0.3229166666666667,0.21872456868489584,0.0,{}
1,3,LogicOnly,-,192,0.6250840295784116,0.6219602977667493,0.4069953567937439,0.3177083333333333,0.0,{}
1,4,LogisticRegression,BASE,192,0.6311947752593161,0.6446969696969698,0.4913644881938435,0.2199814572439075,0.12175743599982525,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}"
1,4,RandomForest,BASE,192,0.5914893617021277,0.5893939393939394,0.49134111567031913,0.19711376224505076,1.2613766390004457,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
1,4,GradientBoosting,BASE,192,0.49462783171521035,0.5280303030303031,0.4427107602265714,0.20176729604638965,0.8660679459999301,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
1,4,LogisticRegression,BASE+LOCAL,192,0.656085743649978,0.6734848484848486,0.4882118444883797,0.21669608307724406,0.12877735100028076,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced""}"
1,4,RandomForest,BASE+LOCAL,192,0.5356009070294785,0.543939393939394,0.4676301438594691,0.20270171018533367,1.5016992250002659,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
1,4,GradientBoosting,BASE+LOCAL,192,0.5078605604921395,0.5363636363636364,0.43802665982208666,0.2052243974595647,1.288981595000223,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
1,4,LogisticRegression,BASE+KB,192,0.5972222222222222,0.593939393939394,0.48734093473578466,0.1980775078302405,0.1328945979994387,"{""clf__C"": 10.0, ""clf__class_weight"": null}"
1,4,RandomForest,BASE+KB,192,0.5833333333333333,0.5818181818181818,0.45265511021926,0.2066507476760231,1.5309382530003859,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
1,4,GradientBoosting,BASE+KB,192,0.5440723019670388,0.5462121212121213,0.4137165186178888,0.2282183671705932,1.658879526000419,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
1,4,DummyPrior,-,192,0.4074074074074074,0.5,0.3125,0.21533372667100692,0.0,{}
1,4,LogicOnly,-,192,0.6440310467272099,0.6446969696969698,0.4136099726775957,0.3072916666666667,0.0,{}
