sample_id,n_nodes,input_facts,closure_facts,rounds,matches,seconds,derived_down,oracle_agreement
943,17,18,96,4,4085,0.006123039999692992,2,1
944,15,19,121,5,5084,0.007884674000706582,8,1
945,15,14,82,5,3301,0.0052299649996712105,0,1
946,15,15,86,5,3674,0.005536022999876877,2,1
947,15,14,82,5,3301,0.0051261759999761125,0,1
948,15,17,95,5,4319,0.006179762999636296,5,1
949,15,15,90,5,3770,0.00649429599980067,3,1
950,15,14,82,5,3301,0.005254200000308629,0,1
951,15,21,129,6,7189,0.010733281000284478,9,1
952,12,12,50,4,1396,0.0023209350001707207,3,1
953,12,11,46,4,1199,0.001946539999153174,1,1
954,12,11,46,4,1199,0.0019428130008236622,1,1
955,12,10,44,4,1062,0.0019143990002703504,0,1
956,12,11,48,4,1259,0.0023321129992837086,2,1
957,12,10,44,4,1062,0.0023519440001109615,0,1
958,12,12,64,5,2126,0.003986552000242227,6,1
959,12,10,44,4,1062,0.0018999929998244625,0,1
