repeat,fold,model,fraction,n_train,train_f1,test_f1
0,3,RandomForest,0.7,536,0.6076759061833689,0.478754971904792
0,3,GradientBoosting,0.7,536,0.5852998065764023,0.513866807984455
0,3,LogisticRegression,1.0,768,0.5914219148428758,0.580145583081209
0,3,RandomForest,1.0,768,0.5342473886657704,0.454511017109666
0,3,GradientBoosting,1.0,768,0.5398248012557598,0.4736521474261346
0,4,LogisticRegression,0.4,304,0.6162234756916465,0.5923025879230258
0,4,RandomForest,0.4,304,0.6176100628930817,0.4588560375794418
0,4,GradientBoosting,0.4,304,0.6176100628930817,0.47464992757122165
0,4,LogisticRegression,0.7,536,0.6021592442645074,0.5474970932973007
0,4,RandomForest,0.7,536,0.5741525423728814,0.4588560375794418
0,4,GradientBoosting,0.7,536,0.609438932795247,0.48933507170795304
0,4,LogisticRegression,1.0,768,0.5787527501987538,0.596573460481655
0,4,RandomForest,1.0,768,0.5161372481557112,0.4439295644114921
0,4,GradientBoosting,1.0,768,0.5221503235440518,0.44182864960383056
1,0,LogisticRegression,0.4,304,0.6241582491582491,0.5476190476190476
1,0,RandomForest,0.4,304,0.6225548761918148,0.4350282485875706
1,0,GradientBoosting,0.4,304,0.6749532210638867,0.516031457955233
1,0,LogisticRegression,0.7,528,0.5936002767447894,0.532750713853076
1,0,RandomForest,0.7,528,0.6313283070381208,0.4694960212201591
1,0,GradientBoosting,0.7,528,0.6294447910168435,0.467130661736719
1,0,LogisticRegression,1.0,760,0.583325633112183,0.5481404240528328
1,0,RandomForest,1.0,760,0.5784188683065088,0.43820224719101125
1,0,GradientBoosting,1.0,760,0.5872468212893744,0.4494072700713523
1,1,LogisticRegression,0.4,304,0.638095238095238,0.5739887352790578
1,1,RandomForest,0.4,304,0.6579522139122377,0.44508670520231214
1,1,GradientBoosting,0.4,304,0.6678321678321678,0.5122994652406416
1,1,LogisticRegression,0.7,536,0.6081988586573193,0.5727993324989571
1,1,RandomForest,0.7,536,0.6365990965255083,0.4434782608695652
1,1,GradientBoosting,0.7,536,0.6156283976034607,0.4813480833547723
1,1,LogisticRegression,1.0,768,0.5976235124195144,0.5576820839978734
1,1,RandomForest,1.0,768,0.568612201128905,0.474292668086401
1,1,GradientBoosting,1.0,768,0.5784736954786975,0.44508670520231214
1,2,LogisticRegression,0.4,304,0.5843780632513027,0.656938653960691
1,2,RandomForest,0.4,304,0.5307412261540703,0.4498567335243553
1,2,GradientBoosting,0.4,304,0.5750866599575086,0.5494560193415345
1,2,LogisticRegression,0.7,536,0.5751811594202899,0.6461916461916462
1,2,RandomForest,0.7,536,0.5245617740232312,0.4498567335243553
1,2,GradientBoosting,0.7,536,0.5475370762711864,0.474292668086401
1,2,LogisticRegression,1.0,768,0.5779570483371068,0.5985114300903774
1,2,RandomForest,1.0,768,0.46313851190070243,0.4498567335243553
1,2,GradientBoosting,1.0,768,0.51462763246417,0.47201783723522855
1,3,LogisticRegression,0.4,304,0.6669214697039189,0.6036805093936956
1,3,RandomForest,0.4,304,0.7647198904566292,0.517125748502994
1,3,GradientBoosting,0.4,304,0.7105720672241079,0.5074958672974976
1,3,LogisticRegression,0.7,536,0.6138136645962733,0.566821499668215
1,3,RandomForest,0.7,536,0.6332622601279317,0.4523809523809524
1,3,GradientBoosting,0.7,536,0.6378833584715937,0.5043771043771044
1,3,LogisticRegression,1.0,768,0.6009038871873204,0.5384015594541911
1,3,RandomForest,1.0,768,0.5564440890310542,0.43529411764705883
1,3,GradientBoosting,1.0,768,0.5806789927057188,0.478754971904792
1,4,LogisticRegression,0.4,304,0.6125001750920984,0.49545057958369687
1,4,RandomForest,0.4,304,0.6922765462091305,0.4650831941609451
1,4,GradientBoosting,0.4,304,0.673092559078868,0.5619047619047619
1,4,LogisticRegression,0.7,536,0.6095936735861818,0.5202161414972826
1,4,RandomForest,0.7,536,0.5745297670405523,0.4423207768911981
1,4,GradientBoosting,0.7,536,0.5668065802852152,0.5155677655677655
1,4,LogisticRegression,1.0,776,0.5940621266184531,0.5113568906801638
1,4,RandomForest,1.0,776,0.4961639878625661,0.48784561143069216
1,4,GradientBoosting,1.0,776,0.5252238722954559,0.48200059898173103
