repeat,fold,model,feature_set,n_test,f1_macro,balanced_accuracy,average_precision,brier,fit_seconds,best_params
0,1,LogisticRegression,BASE,184,0.5717406094460558,0.6681818181818182,0.403804610318446,0.22115675416138544,0.11881013699985488,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced""}"
0,1,RandomForest,BASE,184,0.5304625199362042,0.5337662337662338,0.3058916485089525,0.13707132294182442,1.2830642369999623,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
0,1,GradientBoosting,BASE,184,0.48660714285714285,0.5134199134199134,0.35492544809114246,0.13032955179472094,0.8728783060005298,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
0,1,LogisticRegression,BASE+LOCAL,184,0.5675213675213675,0.6649350649350649,0.40163965619762226,0.21987736993129617,0.1376342889998341,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}"
0,1,RandomForest,BASE+LOCAL,184,0.47657295850066933,0.5004329004329005,0.26349193423092193,0.14175699021633337,1.50508672199976,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
0,1,GradientBoosting,BASE+LOCAL,184,0.5643014615824283,0.5569264069264069,0.3697469036920834,0.1323901398764701,1.3760369480005465,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
0,1,LogisticRegression,BASE+KB,184,0.5535759550968676,0.6348484848484848,0.40131316796359373,0.22475493883578593,0.1481549840000298,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
0,1,RandomForest,BASE+KB,184,0.551219512195122,0.5471861471861472,0.3016581598275073,0.1384610194846322,1.5796185939998395,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
0,1,GradientBoosting,BASE+KB,184,0.4840343735866124,0.5101731601731602,0.35285924761613324,0.13237566548485588,1.5004989379995095,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
0,1,DummyPrior,-,184,0.4556213017751479,0.5,0.16304347826086957,0.14004767348098723,0.0,{}
0,1,LogicOnly,-,184,0.6121650105389942,0.6530303030303031,0.24340721795964762,0.266304347826087,0.0,{}
0,2,LogisticRegression,BASE,192,0.5513300681840008,0.5940789473684212,0.3047863062046481,0.23684990910978473,0.1330689189999248,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
0,2,RandomForest,BASE,192,0.478754971904792,0.5085526315789474,0.27313689516201983,0.16656355759030772,1.3215186810002706,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 10}"
0,2,GradientBoosting,BASE,192,0.49704538531830644,0.5177631578947368,0.28737011065539975,0.16726681494377163,0.913573341999836,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
0,2,LogisticRegression,BASE+LOCAL,192,0.555541461867766,0.6032894736842105,0.3062517618778539,0.23672143130165946,0.13455675799923483,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
0,2,RandomForest,BASE+LOCAL,192,0.5329008341056534,0.5394736842105263,0.24885160089328465,0.1805253178199393,1.473600235000049,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
0,2,GradientBoosting,BASE+LOCAL,192,0.4839724680432645,0.5151315789473684,0.30109140925467676,0.162635656855421,1.2951673220004523,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
0,2,LogisticRegression,BASE+KB,192,0.5233494363929146,0.5447368421052632,0.3039649339065288,0.23241747597528425,0.1395807059998333,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
0,2,RandomForest,BASE+KB,192,0.5293849398620533,0.5361842105263157,0.2798849001769306,0.17186373507920202,1.48737070199968,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
0,2,GradientBoosting,BASE+KB,192,0.43859649122807015,0.4934210526315789,0.2962930395172788,0.16285113626102374,1.3548371509996286,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 1}"
0,2,DummyPrior,-,192,0.4418604651162791,0.5,0.20833333333333334,0.16494581434461805,0.0,{}
0,2,LogicOnly,-,192,0.5158307649201457,0.5164473684210527,0.21438953488372092,0.328125,0.0,{}
0,3,LogisticRegression,BASE,192,0.6015625,0.653061224489796,0.4227469472450327,0.22249225122570918,0.12186621700038813,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
0,3,RandomForest,BASE,192,0.4481437125748503,0.49750566893424036,0.36507812670254136,0.17188087018511042,1.2301749660000496,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
0,3,GradientBoosting,BASE,192,0.4686451157039392,0.5086167800453515,0.3539558279870016,0.1752941948463991,0.8430350449998514,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
0,3,LogisticRegression,BASE+LOCAL,192,0.595959595959596,0.653968253968254,0.44441914808005706,0.22927487400023105,0.1377772770001684,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced""}"
0,3,RandomForest,BASE+LOCAL,192,0.5106580166821131,0.5342403628117913,0.42192608751919547,0.16488900522513064,1.4465002110000569,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 3}"
0,3,GradientBoosting,BASE+LOCAL,192,0.4941317365269461,0.5265306122448979,0.41214650657893964,0.1695456510345292,1.2825105689998963,"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 2}"
0,3,LogisticRegression,BASE+KB,192,0.5697153240460326,0.617233560090703,0.45091046941104856,0.23063327107355217,0.13696531799996592,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
